,User.ID,Book.Title,Book.Rating
1,276726,Classical Mythology,5
2,276729,Clara Callan,3
3,276729,Decision in Normandy,6
4,276736,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,8
5,276737,The Mummies of Urumchi,6
6,276744,The Kitchen God's Wife,7
7,276745,What If?: The World's Foremost Military Historians Imagine What Might Have Been,10
8,276747,PLEADING GUILTY,9
9,276747,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,9
10,276747,Where You'll Find Me: And Other Stories,8
11,276747,Nights Below Station Street,7
12,276747,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,7
13,276748,The Middle Stories,6
14,276751,Jane Doe,8
15,276754,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),8
16,276755,The Witchfinder (Amos Walker Mystery Series),5
17,276760,More Cunning Than Man: A Social History of Rats and Man,10
18,276762,Goodbye to the Buttermilk Sky,5
19,276762,The Testament,8
20,276762,Beloved (Plume Contemporary Fiction),3
21,276762,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,4
22,276768,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,4
23,276772,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,7
24,276772,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),10
25,276772,Tell Me This Isn't Happening,10
26,276774,Flood : Mississippi 1927,9
27,276780,Wild Animus,7
28,276780,Airframe,7
29,276786,Timeline,6
30,276786,OUT OF THE SILENT PLANET,8
31,276786,Prague : A Novel,6
32,276786,Chocolate Jesus,6
33,276788,Wie Barney es sieht.,8
34,276788,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,7
35,276788,Sturmzeit. Roman.,10
36,276796,Tage der Unschuld.,5
37,276798,Lying Awake,5
38,276798,To Kill a Mockingbird,7
39,276798,Seabiscuit: An American Legend,6
40,276800,Pigs in Heaven,7
41,276804,Miss Zukas and the Raven's Dance,8
42,276808,Pride and Prejudice,10
43,276811,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,10
44,276812,Downtown,8
45,276813,Icebound,8
46,276813,I'll Be Seeing You,8
47,276813,From the Corner of His Eye,6
48,276813,Isle of Dogs,8
49,276813,Purity in Death,6
50,276813,This Year It Will Be Different: And Other Stories,6
51,276813,Proxies,8
52,276814,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),8
53,276814,The Street Lawyer,7
54,276814,"Love, Medicine and Miracles",9
55,276820,All the King's Men,9
56,276822,Pacific Northwest,10
57,276822,A Soldier of the Great War,9
58,276822,Getting Well Again,10
59,276822,Northwest Wines and Wineries,9
60,276822,An Atmosphere of Eternity: Stories of India,9
61,276822,LONESOME DOVE,10
62,276822,Shabanu: Daughter of the Wind (Border Trilogy),6
63,276822,Haveli (Laurel Leaf Books),9
64,276822,Lieux dits,8
65,276822,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,10
66,276822,The yawning heights,9
67,276822,Breathing Lessons,10
68,276822,The Joy Luck Club,10
69,276822,Heart of Darkness (Wordsworth Collection),8
70,276822,The Angel Is Near,10
71,276827,Tess of the D'Urbervilles (Wordsworth Classics),7
72,276828,The Adventures of Drew and Ellie: The Magical Dress,7
73,276830,The Accidental Virgin,9
74,276832,The Tao of Pooh,5
75,276835,Seabiscuit,10
76,276837,The Prince,5
77,276842,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),7
78,276847,Starship Troopers,5
